gender,ethnicity,birth,stark,readk,mathk,lunchk,schoolk,degreek,ladderk,experiencek,tethnicityk,schoolidk
male,cauc,1980 Q3,small,418.0,439.0,non-free,rural,bachelor,level1,8.0,cauc,49.0
female,afam,1980 Q1,regular,422.0,434.0,free,rural,master,level1,15.0,cauc,7.0
female,afam,1980 Q1,small,414.0,434.0,free,rural,bachelor,level1,8.0,cauc,5.0
male,afam,1979 Q4,regular+aide,433.0,454.0,free,urban,bachelor,,11.0,cauc,37.0
female,cauc,1980 Q1,regular,450.0,484.0,non-free,rural,bachelor,level1,10.0,cauc,70.0
female,cauc,1980 Q1,small,458.0,559.0,free,rural,bachelor,level1,4.0,cauc,40.0
female,cauc,1980 Q2,small,445.0,459.0,non-free,urban,master,level1,7.0,cauc,9.0
male,cauc,1980 Q1,small,439.0,506.0,non-free,urban,master,level1,17.0,cauc,48.0
male,cauc,1979 Q3,small,476.0,576.0,non-free,urban,master+,level1,12.0,cauc,10.0
female,cauc,1980 Q4,regular,467.0,484.0,non-free,rural,master,level1,4.0,cauc,80.0
female,afam,1979 Q4,regular+aide,416.0,434.0,free,inner-city,master,level1,10.0,afam,28.0
male,cauc,1980 Q2,small,480.0,528.0,non-free,suburban,bachelor,probation,0.0,cauc,43.0
female,cauc,1980 Q3,regular+aide,437.0,478.0,non-free,suburban,bachelor,level1,16.0,cauc,41.0
male,cauc,1980 Q1,small,465.0,602.0,non-free,suburban,master,level1,18.0,cauc,41.0
female,cauc,1979 Q4,small,407.0,439.0,free,rural,bachelor,level1,4.0,cauc,40.0
female,afam,1980 Q2,regular,487.0,547.0,non-free,inner-city,bachelor,level1,12.0,afam,27.0
male,cauc,1980 Q2,regular+aide,425.0,489.0,non-free,suburban,master,level1,8.0,cauc,61.0
female,cauc,1980 Q2,small,447.0,500.0,non-free,suburban,master,level1,14.0,afam,21.0
female,cauc,1980 Q3,small,430.0,468.0,non-free,rural,master,level1,13.0,cauc,8.0
female,cauc,1980 Q2,small,,444.0,non-free,suburban,bachelor,,15.0,cauc,43.0
female,afam,1979 Q4,small,,,free,inner-city,bachelor,,2.0,cauc,28.0
female,cauc,1980 Q1,small,480.0,547.0,non-free,suburban,master,level1,14.0,afam,21.0
female,cauc,1979 Q4,regular,440.0,513.0,non-free,rural,master,level1,5.0,cauc,47.0
male,afam,1980 Q2,regular+aide,410.0,405.0,non-free,rural,bachelor,level1,13.0,cauc,11.0
male,afam,1979 Q3,small,,288.0,free,inner-city,bachelor,level1,3.0,afam,22.0
female,cauc,1980 Q1,small,413.0,506.0,non-free,rural,master,level1,5.0,cauc,35.0
female,afam,1980 Q3,regular,422.0,513.0,free,suburban,bachelor,apprentice,1.0,afam,21.0
female,afam,1980 Q3,small,442.0,559.0,non-free,suburban,bachelor,apprentice,5.0,afam,24.0
female,afam,1980 Q1,regular+aide,461.0,547.0,free,inner-city,bachelor,level1,10.0,afam,27.0
male,afam,1980 Q3,regular+aide,421.0,454.0,free,inner-city,master,level1,22.0,cauc,33.0
female,cauc,1980 Q2,small,,,free,urban,bachelor,apprentice,1.0,cauc,60.0
female,afam,1980 Q2,small,410.0,494.0,free,inner-city,bachelor,apprentice,2.0,cauc,19.0
female,afam,1979 Q4,small,465.0,626.0,non-free,inner-city,bachelor,apprentice,2.0,cauc,30.0
male,cauc,1980 Q3,regular,436.0,500.0,non-free,rural,bachelor,level1,11.0,cauc,49.0
male,cauc,1979 Q4,regular+aide,398.0,449.0,free,rural,master,level1,5.0,cauc,39.0
female,cauc,1979 Q4,regular+aide,442.0,528.0,non-free,suburban,master,level1,8.0,cauc,61.0
male,cauc,1980 Q2,regular+aide,461.0,500.0,non-free,urban,bachelor,level1,11.0,cauc,9.0
male,cauc,1979 Q4,regular,436.0,506.0,free,rural,master,level1,13.0,cauc,50.0
male,cauc,1979 Q4,small,428.0,473.0,non-free,suburban,bachelor,,5.0,cauc,17.0
male,afam,1979 Q4,regular,411.0,444.0,free,inner-city,bachelor,probation,0.0,cauc,31.0
male,cauc,1980 Q2,regular+aide,436.0,459.0,non-free,rural,master,level1,5.0,cauc,39.0
male,afam,1980 Q1,regular,,,free,inner-city,master,probation,6.0,cauc,33.0
female,cauc,1980 Q2,small,436.0,463.0,non-free,suburban,master,level1,4.0,cauc,46.0
male,cauc,1980 Q3,regular+aide,428.0,559.0,non-free,rural,bachelor,level1,12.0,cauc,12.0
male,cauc,1980 Q3,regular,472.0,536.0,non-free,rural,bachelor,,5.0,cauc,1.0
male,afam,1980 Q2,regular+aide,434.0,473.0,free,inner-city,bachelor,level1,11.0,cauc,45.0
male,cauc,1979 Q4,small,443.0,500.0,non-free,rural,master+,level1,8.0,cauc,78.0
male,cauc,1980 Q2,small,424.0,520.0,free,rural,bachelor,level1,2.0,cauc,39.0
male,afam,1980 Q3,regular+aide,418.0,473.0,free,inner-city,master,level1,22.0,cauc,33.0
male,afam,1980 Q1,regular,428.0,500.0,free,inner-city,bachelor,level1,11.0,cauc,22.0
male,afam,1980 Q1,small,440.0,468.0,free,inner-city,bachelor,level1,14.0,cauc,32.0
male,cauc,1980 Q2,regular+aide,436.0,513.0,non-free,suburban,bachelor,level1,7.0,cauc,4.0
male,afam,1980 Q2,small,433.0,506.0,non-free,inner-city,master,level1,13.0,afam,14.0
male,cauc,1980 Q2,regular+aide,448.0,473.0,non-free,suburban,bachelor,level1,8.0,afam,17.0
male,afam,1980 Q3,small,474.0,506.0,free,suburban,bachelor,,3.0,cauc,44.0
male,afam,1980 Q1,regular,414.0,484.0,free,rural,master,level1,15.0,cauc,7.0
female,cauc,1980 Q3,small,411.0,468.0,non-free,rural,bachelor,level1,20.0,cauc,71.0
female,afam,1980 Q3,small,422.0,468.0,non-free,suburban,bachelor,level1,11.0,afam,23.0
female,cauc,1980 Q1,small,395.0,412.0,non-free,rural,bachelor,level1,20.0,cauc,71.0
female,afam,1980 Q2,regular,407.0,459.0,free,suburban,bachelor,level1,6.0,cauc,24.0
female,cauc,1980 Q2,regular,472.0,506.0,non-free,rural,bachelor,level1,11.0,cauc,64.0
female,cauc,1980 Q2,small,402.0,463.0,free,urban,master,level1,12.0,cauc,2.0
female,cauc,1980 Q3,regular,428.0,500.0,non-free,rural,bachelor,level1,6.0,cauc,71.0
male,cauc,1980 Q3,regular,413.0,463.0,non-free,rural,master,level1,12.0,cauc,8.0
male,cauc,1980 Q2,regular,443.0,468.0,free,suburban,bachelor,,18.0,afam,25.0
male,cauc,1978 Q2,regular+aide,418.0,434.0,free,urban,bachelor,level1,14.0,cauc,9.0
male,cauc,1980 Q3,small,403.0,418.0,free,rural,bachelor,level1,2.0,cauc,73.0
female,cauc,1980 Q1,small,442.0,484.0,free,suburban,bachelor,level1,11.0,cauc,61.0
female,afam,1980 Q1,small,443.0,528.0,free,inner-city,bachelor,apprentice,1.0,afam,16.0
male,afam,1980 Q2,regular+aide,410.0,494.0,non-free,urban,bachelor,level1,17.0,cauc,2.0
female,afam,1980 Q2,regular+aide,403.0,439.0,free,inner-city,bachelor,probation,0.0,cauc,19.0
male,cauc,1980 Q1,small,433.0,489.0,free,urban,master,level1,17.0,cauc,48.0
male,cauc,1980 Q1,regular,422.0,528.0,non-free,rural,bachelor,probation,0.0,cauc,67.0
male,cauc,1979 Q4,regular+aide,434.0,536.0,non-free,rural,bachelor,level2,27.0,cauc,70.0
female,cauc,1980 Q1,small,,,,rural,bachelor,level1,12.0,,79.0
male,cauc,1980 Q3,regular+aide,,,non-free,urban,bachelor,level1,14.0,cauc,9.0
female,afam,1980 Q3,small,433.0,468.0,free,suburban,bachelor,level2,13.0,cauc,24.0
female,cauc,1979 Q4,small,440.0,559.0,non-free,urban,master,level1,17.0,cauc,48.0
male,cauc,1979 Q3,regular,461.0,559.0,non-free,rural,bachelor,level1,20.0,cauc,64.0
female,cauc,1980 Q1,regular+aide,413.0,459.0,non-free,suburban,bachelor,level1,17.0,cauc,43.0
male,cauc,1980 Q2,small,445.0,559.0,free,rural,bachelor,level1,4.0,cauc,13.0
male,cauc,1979 Q4,regular+aide,507.0,536.0,non-free,suburban,bachelor,apprentice,3.0,cauc,42.0
female,cauc,1980 Q3,small,490.0,576.0,non-free,rural,bachelor,level1,15.0,cauc,66.0
male,afam,1979 Q4,regular+aide,,454.0,non-free,suburban,bachelor,apprentice,3.0,cauc,42.0
female,cauc,1980 Q2,regular,451.0,536.0,non-free,rural,master,level1,6.0,cauc,13.0
female,cauc,1980 Q2,regular,474.0,536.0,non-free,rural,master,level1,10.0,cauc,1.0
male,afam,1980 Q2,regular+aide,414.0,429.0,free,inner-city,master,level1,22.0,cauc,33.0
male,cauc,1979 Q3,small,400.0,423.0,non-free,rural,bachelor,level1,4.0,cauc,7.0
female,cauc,1980 Q1,regular,468.0,489.0,non-free,rural,bachelor,level1,16.0,cauc,69.0
male,cauc,1980 Q3,regular,386.0,399.0,non-free,rural,bachelor,level1,8.0,cauc,5.0
male,afam,1980 Q1,regular,424.0,478.0,free,inner-city,bachelor,level1,6.0,afam,19.0
female,cauc,1980 Q2,regular+aide,430.0,473.0,free,rural,master,level1,8.0,cauc,57.0
male,cauc,1979 Q3,regular+aide,,,free,rural,bachelor,level1,3.0,cauc,7.0
female,cauc,1980 Q1,regular,453.0,520.0,free,rural,master,level1,15.0,cauc,7.0
male,afam,1980 Q3,regular,456.0,528.0,non-free,inner-city,bachelor,level1,10.0,afam,30.0
male,cauc,1979 Q4,small,451.0,576.0,non-free,rural,bachelor,level1,15.0,cauc,65.0
female,cauc,1980 Q2,small,440.0,484.0,non-free,rural,master,level1,8.0,cauc,57.0
female,cauc,1979 Q4,small,445.0,459.0,free,rural,specialist,level1,10.0,cauc,3.0
female,cauc,1980 Q2,regular+aide,445.0,468.0,non-free,suburban,master,level1,14.0,cauc,36.0
female,cauc,1980 Q2,regular+aide,402.0,468.0,free,rural,master,level1,9.0,cauc,3.0
female,afam,1980 Q1,regular+aide,,,free,inner-city,bachelor,level1,6.0,afam,26.0
female,cauc,1980 Q3,regular+aide,414.0,484.0,non-free,rural,master,level1,12.0,cauc,79.0
female,cauc,1979 Q4,regular,421.0,478.0,non-free,suburban,bachelor,,3.0,cauc,43.0
female,afam,1980 Q1,small,408.0,449.0,free,inner-city,bachelor,level1,6.0,afam,19.0
female,afam,1980 Q1,regular+aide,393.0,454.0,free,inner-city,bachelor,apprentice,1.0,cauc,19.0
male,afam,1980 Q1,small,398.0,429.0,free,inner-city,bachelor,level1,6.0,afam,19.0
female,cauc,1979 Q4,small,450.0,513.0,non-free,urban,bachelor,apprentice,1.0,cauc,60.0
female,cauc,1980 Q4,regular+aide,445.0,468.0,non-free,urban,master,level1,8.0,cauc,59.0
male,cauc,1980 Q2,regular,424.0,500.0,free,suburban,master+,level1,13.0,cauc,51.0
female,cauc,1980 Q2,regular+aide,467.0,500.0,non-free,rural,bachelor,level1,10.0,cauc,68.0
male,cauc,1980 Q1,small,400.0,459.0,non-free,rural,master,level1,13.0,cauc,8.0
female,cauc,1980 Q2,small,434.0,513.0,free,rural,master,level1,9.0,cauc,12.0
female,cauc,1980 Q3,small,,,free,urban,master,level1,13.0,cauc,37.0
female,cauc,1980 Q1,regular+aide,390.0,418.0,free,rural,master,level1,5.0,cauc,39.0
female,cauc,1980 Q3,regular+aide,416.0,473.0,non-free,rural,master,level1,13.0,cauc,76.0
male,cauc,1980 Q3,small,,,non-free,rural,bachelor,level1,19.0,cauc,64.0
female,cauc,1980 Q1,regular,425.0,449.0,free,rural,bachelor,level1,8.0,cauc,3.0
female,afam,1979 Q4,regular,470.0,463.0,free,inner-city,bachelor,,6.0,afam,27.0
female,cauc,1980 Q1,regular,472.0,459.0,free,rural,master,level2,11.0,cauc,11.0
male,cauc,1980 Q1,regular,428.0,528.0,non-free,rural,bachelor,level1,8.0,cauc,3.0
male,cauc,1979 Q3,small,436.0,459.0,,rural,bachelor,level1,19.0,,64.0
female,afam,1980 Q3,regular+aide,470.0,489.0,free,inner-city,bachelor,level1,20.0,afam,27.0
male,cauc,1979 Q4,regular,439.0,559.0,free,rural,bachelor,level1,8.0,cauc,72.0
female,cauc,1980 Q1,regular+aide,430.0,494.0,non-free,rural,master,level1,5.0,cauc,34.0
male,afam,1979 Q4,regular+aide,467.0,506.0,non-free,rural,master,level1,9.0,cauc,3.0
female,cauc,1980 Q2,regular+aide,440.0,468.0,non-free,urban,,,,,48.0
female,cauc,1980 Q1,regular+aide,470.0,536.0,free,rural,master,level1,10.0,cauc,72.0
female,afam,1980 Q1,regular,434.0,494.0,free,suburban,bachelor,,18.0,afam,25.0
male,afam,1980 Q1,regular+aide,434.0,484.0,non-free,suburban,master,level1,10.0,cauc,24.0
male,afam,1980 Q3,small,397.0,412.0,free,inner-city,bachelor,,3.0,cauc,45.0
male,cauc,1980 Q2,small,445.0,559.0,non-free,rural,bachelor,level1,12.0,cauc,50.0
female,cauc,1980 Q1,regular+aide,421.0,506.0,non-free,suburban,bachelor,level1,3.0,cauc,58.0
female,afam,1980 Q3,small,408.0,489.0,free,inner-city,bachelor,level1,5.0,cauc,29.0
male,cauc,1979 Q4,regular+aide,565.0,547.0,non-free,rural,bachelor,level1,9.0,cauc,49.0
female,cauc,1980 Q3,small,428.0,500.0,non-free,rural,master,level1,6.0,cauc,62.0
female,afam,1980 Q3,regular+aide,390.0,473.0,non-free,suburban,bachelor,,12.0,afam,20.0
female,cauc,1979 Q3,regular,405.0,434.0,free,rural,master,level1,8.0,afam,66.0
female,cauc,1980 Q3,small,447.0,489.0,non-free,suburban,bachelor,level1,10.0,cauc,42.0
male,cauc,1980 Q2,small,407.0,444.0,free,rural,master+,level1,8.0,cauc,78.0
female,afam,1980 Q3,regular+aide,414.0,418.0,free,inner-city,master,level1,22.0,cauc,33.0
male,cauc,1980 Q1,regular,434.0,489.0,non-free,rural,bachelor,level1,2.0,cauc,76.0
female,afam,1980 Q1,regular,456.0,576.0,free,inner-city,bachelor,level1,11.0,cauc,22.0
male,afam,1980 Q1,regular,418.0,463.0,free,inner-city,bachelor,probation,0.0,afam,27.0
female,cauc,1980 Q1,regular,433.0,473.0,free,suburban,bachelor,probation,14.0,cauc,42.0
female,afam,1980 Q2,regular+aide,465.0,489.0,free,inner-city,bachelor,level1,20.0,afam,27.0
male,afam,1980 Q3,regular+aide,434.0,459.0,free,suburban,bachelor,apprentice,1.0,afam,20.0
male,cauc,1979 Q4,regular,427.0,520.0,non-free,urban,bachelor,probation,0.0,cauc,59.0
female,afam,1980 Q1,regular+aide,437.0,484.0,free,inner-city,bachelor,level1,7.0,cauc,22.0
male,cauc,1979 Q4,small,503.0,513.0,non-free,rural,bachelor,level1,7.0,cauc,63.0
female,afam,1980 Q2,small,,,free,inner-city,master,level1,10.0,afam,18.0
male,afam,1980 Q3,regular,442.0,468.0,free,inner-city,master,level1,7.0,cauc,28.0
male,afam,1979 Q2,regular+aide,414.0,478.0,free,suburban,master,level1,15.0,afam,21.0
male,afam,1980 Q3,regular+aide,421.0,418.0,non-free,suburban,bachelor,level1,7.0,cauc,54.0
female,afam,1980 Q2,regular,421.0,513.0,free,inner-city,bachelor,probation,0.0,cauc,31.0
female,cauc,1980 Q2,small,431.0,506.0,non-free,rural,bachelor,level1,21.0,cauc,56.0
male,afam,1979 Q4,regular,450.0,576.0,free,inner-city,bachelor,probation,0.0,cauc,31.0
female,afam,1980 Q3,regular+aide,425.0,459.0,non-free,urban,master,level1,12.0,cauc,10.0
male,cauc,1979 Q4,small,428.0,520.0,free,rural,master,level1,12.0,cauc,80.0
female,cauc,1980 Q1,regular+aide,456.0,576.0,free,rural,master,level1,20.0,cauc,3.0
male,cauc,1980 Q1,regular+aide,605.0,559.0,non-free,rural,master,level1,5.0,cauc,34.0
female,afam,1980 Q3,regular+aide,416.0,412.0,free,inner-city,master,level1,10.0,afam,28.0
male,cauc,1980 Q3,regular+aide,395.0,489.0,free,rural,master,level1,11.0,cauc,75.0
female,afam,1980 Q2,regular,467.0,528.0,free,inner-city,bachelor,level1,12.0,afam,27.0
male,afam,1980 Q3,regular,,,non-free,suburban,bachelor,apprentice,1.0,cauc,23.0
male,afam,1980 Q2,regular+aide,390.0,444.0,free,inner-city,bachelor,level1,9.0,cauc,53.0
male,asian,1980 Q2,regular,413.0,454.0,non-free,suburban,bachelor,level1,0.0,cauc,17.0
female,afam,1980 Q1,regular+aide,440.0,500.0,non-free,suburban,bachelor,apprentice,1.0,afam,20.0
male,cauc,1980 Q2,small,410.0,444.0,non-free,rural,bachelor,apprentice,1.0,cauc,57.0
female,cauc,1979 Q4,regular+aide,445.0,478.0,free,rural,master,level1,9.0,cauc,65.0
male,cauc,1979 Q4,small,453.0,536.0,non-free,suburban,bachelor,level1,5.0,cauc,58.0
female,cauc,1980 Q1,regular+aide,480.0,528.0,,rural,bachelor,level1,15.0,,47.0
female,afam,1979 Q4,small,483.0,513.0,free,suburban,bachelor,level1,3.0,cauc,44.0
female,afam,1980 Q3,regular+aide,407.0,478.0,non-free,suburban,bachelor,level1,8.0,afam,17.0
male,cauc,1979 Q1,regular,,,non-free,suburban,bachelor,level1,12.0,cauc,46.0
female,afam,1980 Q1,small,411.0,468.0,free,inner-city,bachelor,apprentice,1.0,cauc,26.0
male,cauc,1980 Q1,regular,397.0,463.0,free,rural,bachelor,apprentice,2.0,cauc,57.0
male,asian,1980 Q2,regular+aide,455.0,547.0,non-free,suburban,bachelor,level1,17.0,cauc,43.0
female,cauc,1980 Q3,regular+aide,413.0,484.0,non-free,rural,master,level1,13.0,cauc,55.0
female,cauc,1980 Q2,regular+aide,407.0,468.0,free,inner-city,bachelor,level1,9.0,cauc,53.0
male,cauc,1980 Q1,regular+aide,402.0,468.0,non-free,rural,bachelor,level1,8.0,cauc,5.0
female,cauc,1980 Q2,regular+aide,424.0,449.0,free,urban,bachelor,level1,13.0,cauc,48.0
female,cauc,1980 Q1,regular+aide,440.0,489.0,free,rural,master,level1,9.0,cauc,65.0
male,cauc,1979 Q4,regular,421.0,478.0,free,rural,bachelor,level1,10.0,cauc,63.0
female,cauc,1980 Q3,regular,554.0,559.0,non-free,suburban,bachelor,probation,14.0,cauc,42.0
female,afam,1979 Q4,regular+aide,439.0,484.0,free,suburban,master,level1,10.0,cauc,24.0
male,afam,1979 Q4,regular,411.0,449.0,free,inner-city,bachelor,,2.0,cauc,32.0
male,afam,1979 Q4,small,425.0,454.0,non-free,inner-city,bachelor,apprentice,1.0,cauc,26.0
male,afam,1980 Q1,regular+aide,427.0,478.0,non-free,suburban,bachelor,level1,7.0,cauc,54.0
male,cauc,1980 Q3,regular+aide,439.0,454.0,non-free,rural,bachelor,,9.0,cauc,1.0
male,cauc,1980 Q2,small,458.0,484.0,non-free,rural,bachelor,level1,4.0,cauc,7.0
female,cauc,1980 Q3,regular+aide,430.0,484.0,non-free,rural,bachelor,level1,9.0,cauc,49.0
male,afam,1980 Q3,regular,408.0,454.0,free,inner-city,master,level1,11.0,afam,15.0
female,afam,1980 Q1,small,407.0,429.0,free,urban,bachelor,probation,1.0,cauc,37.0
male,cauc,1980 Q3,regular,433.0,513.0,free,rural,bachelor,probation,0.0,cauc,67.0
male,cauc,1979 Q4,regular,436.0,473.0,free,rural,bachelor,probation,0.0,cauc,7.0
female,afam,1979 Q4,small,418.0,423.0,non-free,rural,bachelor,apprentice,3.0,cauc,56.0
female,afam,1979 Q4,regular,443.0,463.0,free,inner-city,master,level1,15.0,afam,26.0
female,afam,1980 Q2,small,403.0,478.0,free,suburban,bachelor,level1,3.0,cauc,44.0
female,cauc,1980 Q2,regular,419.0,459.0,non-free,rural,master,level1,13.0,cauc,55.0
female,cauc,1980 Q1,regular+aide,408.0,459.0,free,rural,master,level1,10.0,cauc,72.0
male,cauc,1979 Q3,small,,,free,rural,master,level1,6.0,cauc,62.0
male,afam,1980 Q1,regular,433.0,478.0,non-free,inner-city,master,probation,3.0,afam,53.0
male,cauc,1980 Q3,regular+aide,411.0,423.0,non-free,rural,bachelor,level1,3.0,cauc,66.0
male,cauc,1980 Q2,regular,,,non-free,rural,bachelor,level2,10.0,cauc,68.0
male,cauc,1979 Q4,regular,503.0,559.0,non-free,rural,bachelor,level1,10.0,cauc,63.0
female,cauc,1980 Q2,regular,463.0,449.0,free,rural,master,level2,11.0,cauc,11.0
female,cauc,1980 Q1,regular+aide,388.0,463.0,non-free,suburban,bachelor,apprentice,3.0,cauc,42.0
male,cauc,1980 Q3,regular+aide,414.0,449.0,non-free,rural,master,level1,5.0,cauc,34.0
male,cauc,1980 Q3,regular+aide,390.0,459.0,non-free,rural,master,level1,11.0,cauc,75.0
male,cauc,1979 Q1,small,413.0,454.0,free,urban,master,level1,12.0,cauc,2.0
male,cauc,1980 Q3,regular+aide,470.0,494.0,free,suburban,master,level1,14.0,cauc,36.0
male,afam,1980 Q3,regular+aide,405.0,434.0,free,inner-city,bachelor,level1,6.0,cauc,16.0
male,afam,1980 Q1,small,442.0,547.0,non-free,suburban,bachelor,level1,11.0,afam,23.0
female,cauc,1980 Q3,regular,393.0,429.0,free,rural,bachelor,level1,8.0,cauc,5.0
female,cauc,1980 Q2,regular+aide,418.0,494.0,non-free,suburban,bachelor,level1,18.0,cauc,52.0
female,cauc,1979 Q4,regular,443.0,500.0,non-free,rural,bachelor,level1,16.0,cauc,62.0
male,afam,1980 Q2,regular+aide,428.0,468.0,free,inner-city,bachelor,apprentice,1.0,afam,14.0
male,cauc,1979 Q3,regular,410.0,444.0,non-free,suburban,bachelor,level1,15.0,cauc,36.0
female,cauc,1980 Q1,regular,437.0,500.0,free,rural,bachelor,level1,10.0,cauc,63.0
male,afam,1980 Q3,regular+aide,461.0,506.0,non-free,inner-city,bachelor,level1,20.0,afam,27.0
male,cauc,1980 Q3,regular,472.0,528.0,free,suburban,bachelor,apprentice,1.0,afam,21.0
female,afam,1980 Q3,regular+aide,,459.0,non-free,suburban,bachelor,apprentice,3.0,cauc,42.0
male,afam,1980 Q4,small,434.0,506.0,free,inner-city,bachelor,probation,9.0,afam,22.0
male,cauc,1980 Q3,small,427.0,439.0,non-free,rural,master,level1,15.0,cauc,70.0
male,cauc,1979 Q4,regular,453.0,559.0,free,rural,bachelor,level1,8.0,cauc,72.0
female,afam,1980 Q2,regular,418.0,478.0,free,suburban,bachelor,,4.0,cauc,20.0
female,cauc,1980 Q2,regular,445.0,494.0,free,rural,bachelor,level1,4.0,cauc,39.0
male,cauc,1979 Q2,regular,,,free,rural,bachelor,level1,16.0,cauc,69.0
male,afam,1980 Q2,small,463.0,484.0,non-free,suburban,bachelor,level1,16.0,afam,51.0
female,cauc,1980 Q2,regular,437.0,484.0,non-free,suburban,master,level1,13.0,cauc,54.0
male,cauc,1980 Q2,regular,411.0,468.0,free,rural,bachelor,level1,4.0,cauc,39.0
male,cauc,1980 Q1,small,434.0,528.0,free,rural,master,level1,9.0,cauc,12.0
female,afam,1980 Q1,regular,433.0,439.0,non-free,urban,master+,level1,13.0,cauc,60.0
female,afam,1980 Q1,regular+aide,456.0,506.0,free,suburban,bachelor,apprentice,1.0,afam,20.0
female,afam,1980 Q3,regular,398.0,459.0,non-free,inner-city,bachelor,level1,9.0,afam,18.0
male,cauc,1980 Q1,regular,463.0,559.0,free,rural,bachelor,level1,4.0,cauc,39.0
male,afam,1980 Q3,small,470.0,576.0,free,suburban,bachelor,level1,12.0,afam,25.0
male,cauc,1980 Q1,regular,411.0,439.0,non-free,rural,bachelor,level1,11.0,cauc,64.0
female,afam,1980 Q1,small,413.0,500.0,free,inner-city,bachelor,probation,1.0,cauc,27.0
female,cauc,1979 Q4,regular+aide,440.0,520.0,non-free,rural,master,level1,8.0,cauc,57.0
female,afam,1979 Q4,regular,395.0,459.0,free,inner-city,bachelor,,2.0,cauc,32.0
male,cauc,1980 Q1,small,434.0,489.0,non-free,urban,bachelor,level1,11.0,cauc,59.0
male,cauc,1980 Q1,regular,492.0,528.0,non-free,suburban,master,level1,13.0,cauc,54.0
female,cauc,1980 Q2,small,465.0,559.0,free,suburban,master,level1,14.0,afam,21.0
female,cauc,1980 Q2,small,448.0,473.0,free,rural,master,level1,6.0,cauc,72.0
male,cauc,1980 Q1,regular,411.0,405.0,non-free,suburban,bachelor,level1,11.0,cauc,51.0
female,cauc,1980 Q1,regular,518.0,602.0,non-free,rural,master,level1,12.0,cauc,65.0
male,cauc,1979 Q4,small,422.0,484.0,free,rural,master,level1,6.0,cauc,62.0
